Date,Open,High,Low,Close,Adj Close,Volume
2013-04-15,158.000000,158.130005,155.100006,155.119995,128.913834,217259000
2013-04-16,156.289993,157.490005,155.910004,157.410004,130.816971,147507800
2013-04-17,156.289993,156.320007,154.279999,155.110001,128.905518,226834800
2013-04-18,155.369995,155.410004,153.550003,154.139999,128.099396,167583200
2013-04-19,154.500000,155.550003,154.119995,155.479996,129.212967,149687600
2013-04-22,155.779999,156.539993,154.750000,156.169998,129.786392,106553500
2013-04-23,156.949997,157.929993,156.169998,157.779999,131.124435,166141300
2013-04-24,157.830002,158.300003,157.539993,157.880005,131.207581,96781200
2013-04-25,158.339996,159.270004,158.100006,158.520004,131.739441,131060600
2013-04-26,158.330002,158.600006,157.729996,158.240005,131.506668,95918800
2013-04-29,158.669998,159.649994,158.419998,159.300003,132.387619,88572800
2013-04-30,159.270004,159.720001,158.610001,159.679993,132.703430,116010700
2013-05-01,159.330002,159.410004,158.100006,158.279999,131.539948,138874200
2013-05-02,158.679993,159.889999,158.529999,159.750000,132.761627,96407600
2013-05-03,161.139999,161.880005,159.779999,161.369995,134.107925,144202300
2013-05-06,161.490005,162.009995,161.419998,161.779999,134.448654,66882100
2013-05-07,162.130005,162.649994,161.669998,162.600006,135.130096,90359200
2013-05-08,162.419998,163.389999,162.330002,163.339996,135.745102,97419200
2013-05-09,163.270004,163.699997,162.470001,162.880005,135.362808,106738600
2013-05-10,162.990005,163.550003,162.509995,163.410004,135.803284,103203000
2013-05-13,163.199997,163.809998,162.820007,163.539993,135.911316,81843200
2013-05-14,163.669998,165.350006,163.669998,165.229996,137.315781,119000900
2013-05-15,164.960007,166.449997,164.910004,166.119995,138.055435,120718500
2013-05-16,165.779999,166.360001,165.089996,165.339996,137.407211,109913600
2013-05-17,165.949997,167.039993,165.729996,166.940002,138.736938,129801000
2013-05-20,166.779999,167.580002,166.610001,166.929993,138.728607,85071200
2013-05-21,167.080002,167.800003,166.500000,167.169998,138.928070,95804200
2013-05-22,167.339996,169.070007,165.169998,165.929993,137.897522,244031800
2013-05-23,164.160004,165.910004,163.940002,165.449997,137.498611,211064400
2013-05-24,164.470001,165.380005,163.979996,165.309998,137.382263,151573900
2013-05-28,167.039993,167.779999,165.809998,166.300003,138.205078,143679800
2013-05-29,165.419998,165.800003,164.339996,165.220001,137.307526,160363400
2013-05-30,165.350006,166.589996,165.220001,165.830002,137.814453,107793800
2013-05-31,165.369995,166.309998,163.130005,163.449997,135.836517,176850100
2013-06-03,163.830002,164.460007,162.660004,164.350006,136.584503,168390700
2013-06-04,164.440002,165.100006,162.729996,163.559998,135.927917,157631500
2013-06-05,163.089996,163.419998,161.130005,161.270004,134.024750,211737800
2013-06-06,161.199997,162.740005,160.250000,162.729996,135.238098,200225500
2013-06-07,163.850006,164.949997,163.139999,164.800003,136.958435,188337800
2013-06-10,165.309998,165.399994,164.369995,164.800003,136.958435,105667100
2013-06-11,163.300003,164.539993,162.740005,163.100006,135.545654,159505400
2013-06-12,164.220001,164.389999,161.600006,161.750000,134.423706,177361500
2013-06-13,161.660004,164.500000,161.300003,164.210007,136.468155,163587800
2013-06-14,164.029999,164.669998,162.910004,163.179993,135.612076,141197500
2013-06-17,164.289993,165.220001,163.220001,164.440002,136.659210,136295600
2013-06-18,164.529999,165.990005,164.520004,165.740005,137.739609,114695600
2013-06-19,165.600006,165.889999,163.380005,163.449997,135.836517,206149500
2013-06-20,161.860001,163.470001,158.979996,159.399994,132.470749,321255900
2013-06-21,159.639999,159.759995,157.470001,159.070007,132.895981,271956800
2013-06-24,157.410004,158.429993,155.729996,157.059998,131.216675,222329000
2013-06-25,158.479996,160.100006,157.419998,158.570007,132.478271,162262200
2013-06-26,159.869995,160.500000,159.250000,160.139999,133.789948,134848000
2013-06-27,161.100006,161.820007,160.949997,161.080002,134.575317,129483700
2013-06-28,160.630005,161.399994,159.860001,160.419998,134.023834,160402900
2013-07-01,161.259995,162.479996,161.080002,161.360001,134.809143,131954800
2013-07-02,161.119995,162.300003,160.500000,161.210007,134.683838,154863700
2013-07-03,160.479996,161.770004,160.220001,161.279999,134.742386,75216400
2013-07-05,162.470001,163.080002,161.300003,163.020004,136.196045,122416900
2013-07-08,163.860001,164.389999,163.080002,163.949997,136.972992,108092500
2013-07-09,164.979996,165.330002,164.270004,165.130005,137.958847,119298000
2013-07-10,164.970001,165.750000,164.630005,165.190002,138.008957,121410100
2013-07-11,167.110001,167.610001,165.179993,167.440002,139.888733,135592200
2013-07-12,167.389999,167.929993,167.130005,167.509995,139.947189,104212700
2013-07-15,167.970001,168.389999,167.679993,168.149994,140.481888,69450600
2013-07-16,168.259995,168.360001,167.070007,167.520004,139.955566,88702100
2013-07-17,168.160004,168.479996,167.729996,167.949997,140.314789,92873900
2013-07-18,168.309998,169.270004,168.199997,168.869995,141.083389,103620100
2013-07-19,168.520004,169.229996,168.309998,169.169998,141.334045,103831700
2013-07-22,169.410004,169.740005,169.009995,169.500000,141.609802,79428600
2013-07-23,169.800003,169.830002,169.050003,169.139999,141.308990,80829700
2013-07-24,169.789993,169.860001,168.179993,168.520004,140.791016,112914000
2013-07-25,168.220001,169.080002,167.940002,168.929993,141.133530,111088600
2013-07-26,168.220001,169.160004,167.520004,169.110001,141.283951,107814600
2013-07-29,168.679993,169.059998,168.110001,168.589996,140.849487,79695000
2013-07-30,169.100006,169.279999,168.190002,168.589996,140.849487,85209600
2013-07-31,168.940002,169.850006,168.490005,168.710007,140.949783,142388700
2013-08-01,169.990005,170.809998,169.899994,170.660004,142.578903,110438400
2013-08-02,170.279999,170.970001,170.050003,170.949997,142.821213,91116700
2013-08-05,170.570007,170.960007,170.350006,170.699997,142.612305,54072700
2013-08-06,170.369995,170.740005,169.350006,169.729996,141.802002,87495000
2013-08-07,169.190002,169.429993,168.550003,169.179993,141.342453,84854700
2013-08-08,169.979996,170.179993,168.929993,169.800003,141.860458,102181300
2013-08-09,169.580002,170.100006,168.720001,169.309998,141.451065,91757700
2013-08-12,168.460007,169.309998,168.380005,169.110001,141.283951,68593300
2013-08-13,169.410004,169.899994,168.410004,169.610001,141.701675,80806000
2013-08-14,169.529999,169.800003,168.699997,168.740005,140.974792,79829200
2013-08-15,167.410004,167.429993,166.089996,166.380005,139.003128,152931800
2013-08-16,166.059998,166.630005,165.500000,165.830002,138.543671,130868200
2013-08-19,165.639999,166.210007,164.759995,164.770004,137.658112,96437600
2013-08-20,165.039993,166.199997,164.860001,165.580002,138.334824,89294400
2013-08-21,165.119995,166.029999,164.190002,164.559998,137.482666,159530500
2013-08-22,164.899994,166.300003,164.889999,166.059998,138.735855,101471400
2013-08-23,166.550003,166.830002,165.770004,166.619995,139.203659,90888900
2013-08-26,166.789993,167.300003,165.889999,166.000000,138.685669,89702100
2013-08-27,164.360001,166.000000,163.210007,163.330002,136.454987,158619400
2013-08-28,163.259995,164.490005,163.050003,163.910004,136.939621,108113000
2013-08-29,163.550003,165.039993,163.399994,164.169998,137.156815,119200500
2013-08-30,164.509995,164.529999,163.169998,163.649994,136.722382,134928900
2013-09-03,165.229996,165.580002,163.699997,164.389999,137.340622,142375100
2013-09-04,164.429993,166.029999,164.130005,165.750000,138.476837,97389400
2013-09-05,165.850006,166.399994,165.729996,165.960007,138.652252,63090500
2013-09-06,166.509995,166.979996,164.479996,166.039993,138.719086,159756500
2013-09-09,166.449997,167.729996,166.449997,167.630005,140.047501,87559300
2013-09-10,168.639999,168.899994,168.259995,168.869995,141.083389,105847200
2013-09-11,168.639999,169.399994,168.350006,169.399994,141.526245,94545900
2013-09-12,169.339996,169.559998,168.720001,168.949997,141.150253,83209000
2013-09-13,169.130005,169.460007,168.740005,169.330002,141.467773,72727800
2013-09-16,171.160004,171.240005,170.039993,170.309998,142.286484,106299200
2013-09-17,170.460007,171.110001,170.460007,171.070007,142.921478,82523300
2013-09-18,171.009995,173.520004,170.580002,173.050003,144.575684,203460600
2013-09-19,173.520004,173.600006,172.589996,172.759995,144.333405,146616900
2013-09-20,172.330002,172.330002,170.580002,170.720001,143.324234,132867100
2013-09-23,170.490005,170.649994,169.389999,169.929993,142.661011,104616500
2013-09-24,169.899994,170.529999,169.210007,169.529999,142.325256,106333100
2013-09-25,169.639999,169.979996,168.889999,169.039993,141.913834,117306500
2013-09-26,169.320007,170.169998,169.050003,169.690002,142.459564,77146900
2013-09-27,168.839996,169.139999,168.470001,168.910004,141.804749,99141800
2013-09-30,167.479996,168.539993,167.149994,168.009995,141.049149,143937000
2013-10-01,168.139999,169.500000,167.970001,169.339996,142.165680,127160000
2013-10-02,168.350006,169.339996,167.830002,169.179993,142.031342,113350000
2013-10-03,168.789993,168.940002,166.839996,167.619995,140.721725,176698000
2013-10-04,167.750000,169.059998,167.529999,168.889999,141.787949,96878000
2013-10-07,167.419998,168.449997,167.250000,167.429993,140.562225,96295000
2013-10-08,167.399994,167.619995,165.360001,165.479996,138.925140,178015000
2013-10-09,165.800003,166.199997,164.529999,165.600006,139.025864,168973000
2013-10-10,167.289993,169.259995,167.229996,169.169998,142.023026,195955000
2013-10-11,168.910004,170.320007,168.770004,170.259995,142.938080,105040000
2013-10-14,169.210007,171.080002,169.080002,170.940002,143.509018,112106000
2013-10-15,170.509995,171.149994,169.470001,169.699997,142.467972,155485000
2013-10-16,170.720001,172.160004,170.639999,172.070007,144.457672,161676000
2013-10-17,171.369995,173.320007,171.339996,173.220001,145.423096,129389000
2013-10-18,173.860001,174.509995,173.509995,174.389999,146.405319,138316000
2013-10-21,174.449997,174.750000,174.009995,174.399994,146.413712,104104000
2013-10-22,174.910004,175.929993,174.429993,175.410004,147.261642,126663000
2013-10-23,174.809998,174.889999,173.960007,174.570007,146.556488,105484000
2013-10-24,174.919998,175.369995,174.509995,175.149994,147.043365,70350000
2013-10-25,175.509995,176.000000,175.169998,175.949997,147.714981,93625000
2013-10-28,175.889999,176.470001,175.699997,176.229996,147.950073,84979000
2013-10-29,176.630005,177.240005,176.380005,177.169998,148.739212,87401000
2013-10-30,177.380005,177.509995,175.660004,176.289993,148.000443,140002000
2013-10-31,176.149994,176.889999,175.529999,175.789993,147.580643,133795000
2013-11-01,176.020004,176.610001,175.220001,176.210007,147.933289,142805000
2013-11-04,176.690002,176.899994,175.979996,176.830002,148.453735,85677000
2013-11-05,176.139999,176.750000,175.570007,176.270004,147.983688,85825000
2013-11-06,177.029999,177.500000,176.539993,177.169998,148.739212,87348000
2013-11-07,177.500000,177.639999,174.759995,174.929993,146.858673,157000000
2013-11-08,174.869995,177.309998,174.850006,177.289993,148.839966,136713000
2013-11-11,177.119995,177.529999,176.910004,177.320007,148.865128,62614000
2013-11-12,176.940002,177.360001,176.369995,176.960007,148.562912,83990000
2013-11-13,176.089996,178.429993,176.089996,178.380005,149.755035,103844000
